#{"t_start": 1782408124.5807219, "env_id": "None"}
r,l,t,true_done
0.84,18,17.444376,True
0.9,12,17.450125,True
0.9,12,17.455859,True
0.87,14,17.462922,True
0.87,14,17.46999,True
0.86,16,17.477814,True
0.87,14,17.485128,True
0.82,19,17.494531,True
0.9,12,17.50039,True
0.9,12,17.506236,True
0.9,12,17.512132,True
0.83,18,17.521142,True
0.83,19,17.531029,True
0.83,19,17.540979,True
0.89,13,17.5477,True
0.84,18,17.556934,True
0.89,12,17.563228,True
0.9,12,17.569411,True
0.88,13,17.576137,True
0.9,12,17.582339,True
0.89,12,17.588503,True
0.88,14,17.595618,True
0.87,15,17.603325,True
0.84,18,17.612337,True
0.89,13,17.618916,True
0.86,15,17.62671,True
0.85,16,17.635116,True
0.87,14,17.642264,True
0.89,12,17.648282,True
0.9,12,17.654226,True
0.86,16,17.662125,True
0.88,13,17.668691,True
0.89,12,17.674701,True
0.83,19,17.684615,True
0.89,13,17.691391,True
0.89,12,17.69769,True
0.87,14,17.705021,True
0.85,17,17.713759,True
0.86,16,17.722042,True
0.85,17,17.730766,True
0.9,12,17.736815,True
0.86,16,17.745023,True
0.86,16,17.752803,True
0.87,15,17.760186,True
0.88,13,17.766668,True
0.88,14,17.773739,True
0.87,15,17.78141,True
0.9,12,17.787519,True
0.87,15,17.795195,True
0.86,16,17.803478,True
0.89,13,17.810198,True
0.87,14,17.817505,True
0.88,14,17.824485,True
0.89,12,17.830576,True
0.9,12,17.836705,True
0.88,13,17.843723,True
0.87,15,17.851508,True
0.89,12,17.857636,True
0.85,16,17.86548,True
0.85,16,17.873369,True
0.88,14,17.880216,True
0.8,22,17.891452,True
0.88,14,17.898405,True
0.84,18,17.907653,True
0.9,12,17.913628,True
0.86,16,17.921738,True
0.89,12,17.927808,True
0.81,21,17.937845,True
0.9,12,17.943727,True
0.87,15,17.950947,True
0.84,17,17.958938,True
0.87,14,17.965585,True
0.87,14,17.972169,True
0.87,14,17.979042,True
0.88,14,17.986032,True
0.88,14,17.993247,True
0.83,19,18.0026,True
0.9,12,18.008578,True
0.87,14,18.015613,True
0.88,13,18.022063,True
0.86,16,18.030442,True
0.9,12,18.036666,True
0.87,14,18.043901,True
0.88,13,18.050624,True
0.83,18,18.059246,True
0.87,15,18.066628,True
0.84,17,18.075283,True
0.9,12,18.08115,True
0.89,13,18.087514,True
0.85,16,19.022298,True
0.9,12,19.029142,True
0.89,13,19.036487,True
0.89,12,19.042976,True
0.82,20,19.057267,True
0.87,14,19.066434,True
0.88,14,19.074888,True
0.88,14,19.083061,True
0.9,12,19.090058,True
0.89,13,19.097286,True
0.85,17,19.108884,True
0.88,14,19.118849,True
0.89,12,19.126205,True
0.88,14,19.134776,True
0.88,14,19.142957,True
0.88,13,19.151449,True
0.9,12,19.159626,True
0.9,12,19.168301,True
0.89,13,19.175511,True
0.88,13,19.182433,True
0.88,14,19.189841,True
0.86,16,19.198063,True
0.86,16,19.205823,True
0.89,12,19.211622,True
0.89,12,19.217709,True
0.89,13,19.224299,True
0.85,17,19.232829,True
0.88,14,19.240007,True
0.88,14,19.247211,True
0.82,20,19.25759,True
0.86,16,19.265926,True
0.88,14,19.273371,True
0.89,12,19.279448,True
0.89,12,19.285728,True
0.89,12,19.291838,True
0.87,14,19.299075,True
0.89,12,19.305125,True
0.89,12,19.311191,True
0.87,14,19.318375,True
0.89,13,19.325176,True
0.9,12,19.33126,True
0.88,13,19.33779,True
0.89,12,19.343805,True
0.85,16,19.351541,True
0.88,13,19.358188,True
0.88,14,19.364982,True
0.9,12,19.370797,True
0.85,17,19.379206,True
0.87,14,19.386232,True
0.85,16,19.394096,True
0.89,12,19.400039,True
0.84,17,19.408591,True
0.9,12,19.414441,True
0.87,14,19.421197,True
0.87,15,19.428466,True
0.82,20,19.438556,True
0.86,16,19.446794,True
0.89,12,19.453006,True
0.88,14,19.460096,True
0.89,13,19.466803,True
0.9,12,19.472646,True
0.89,12,19.47887,True
0.89,13,19.485655,True
0.9,12,19.49197,True
0.9,12,19.497984,True
0.87,15,19.50541,True
0.87,15,19.513137,True
0.86,15,19.520799,True
0.89,12,19.526882,True
0.87,15,19.534789,True
0.88,13,19.541094,True
0.89,13,19.547488,True
0.9,12,19.553284,True
0.88,13,19.559576,True
0.89,12,19.565353,True
0.89,13,19.571558,True
0.88,14,19.578493,True
0.88,14,19.585469,True
0.9,12,19.591678,True
0.88,14,19.599034,True
0.85,17,19.607178,True
0.88,14,19.613732,True
0.9,12,19.619493,True
0.87,15,19.626676,True
0.89,13,19.63332,True
0.88,14,19.641482,True
0.89,12,19.653557,True
0.9,12,19.660162,True
0.89,13,19.667021,True
0.9,12,19.673123,True
0.9,12,19.679573,True
0.9,12,19.685759,True
0.87,15,19.69456,True
0.89,13,19.704122,True
0.9,12,19.711071,True
0.88,14,19.719706,True
0.87,15,19.729442,True
0.89,12,19.735846,True
0.85,16,19.748295,True
0.88,14,19.757586,True
0.89,12,19.764986,True
0.9,12,19.771862,True
0.88,13,19.778272,True
0.89,12,19.784227,True
0.88,14,19.791491,True
0.88,13,19.801117,True
0.9,12,19.808503,True
0.9,12,19.816194,True
0.89,13,19.822775,True
0.87,15,19.829927,True
0.89,12,19.835654,True
0.89,12,19.841818,True
0.9,12,19.850379,True
0.89,12,19.856663,True
0.88,14,19.864834,True
0.9,12,19.870856,True
0.9,12,19.876481,True
0.88,13,19.882875,True
0.89,12,19.892391,True
0.9,12,19.900385,True
0.83,18,19.911793,True
0.89,12,19.918603,True
0.86,16,19.926587,True
0.89,13,19.933084,True
0.9,12,19.938892,True
0.87,14,19.946287,True
0.86,15,19.954332,True
0.9,12,19.960487,True
0.85,16,19.968777,True
0.85,16,19.977007,True
0.89,13,19.983491,True
0.84,18,19.992382,True
0.88,14,19.999421,True
0.87,15,20.007201,True
0.89,12,20.013595,True
0.89,12,20.019957,True
0.88,13,20.026576,True
0.9,12,20.032661,True
0.86,15,20.040378,True
0.9,12,20.047093,True
0.88,14,20.054022,True
0.88,14,20.060899,True
0.85,17,20.069173,True
0.9,12,20.075094,True
0.86,16,20.082685,True
0.89,12,20.088565,True
0.87,15,20.096084,True
0.9,12,20.102272,True
0.87,15,20.109835,True
0.85,17,20.118173,True
0.9,12,20.123954,True
0.89,12,21.084393,True
0.87,15,21.093902,True
0.89,13,21.102608,True
0.87,14,21.111076,True
0.88,13,21.119434,True
0.88,14,21.127867,True
0.9,12,21.13547,True
0.88,14,21.14449,True
0.87,15,21.155257,True
0.83,19,21.168237,True
0.89,12,21.176347,True
0.9,12,21.184153,True
0.9,12,21.192403,True
0.88,14,21.201872,True
0.89,13,21.209218,True
0.9,12,21.21575,True
0.89,12,21.22413,True
0.86,16,21.23342,True
0.9,12,21.239306,True
0.88,14,21.24631,True
0.88,14,21.25344,True
0.89,12,21.259857,True
0.9,12,21.266305,True
0.89,13,21.272944,True
0.9,12,21.279434,True
0.85,16,21.287769,True
0.87,15,21.295555,True
0.89,12,21.301874,True
0.87,14,21.308833,True
0.84,18,21.31793,True
0.9,12,21.323823,True
0.87,14,21.330685,True
0.89,12,21.33654,True
0.88,13,21.343115,True
0.89,12,21.349231,True
0.85,17,21.35845,True
0.87,15,21.365733,True
0.9,12,21.371862,True
0.9,12,21.37788,True
0.88,14,21.384699,True
0.9,12,21.390569,True
0.9,12,21.3966,True
0.89,12,21.402775,True
0.89,12,21.408627,True
0.89,12,21.414453,True
0.89,12,21.420318,True
0.89,13,21.42663,True
0.89,13,21.432936,True
0.89,12,21.438925,True
0.9,12,21.445101,True
0.88,14,21.452144,True
0.9,12,21.458148,True
0.87,15,21.465557,True
0.89,13,21.472081,True
0.88,14,21.479306,True
0.86,16,21.487531,True
0.9,12,21.493921,True
0.9,12,21.500415,True
