#{"t_start": 1782183789.7660842, "env_id": "None"}
r,l,t,true_done
18.5,50,29.094553,False
16.5,50,29.119703,False
18.5,50,29.145742,False
17.5,50,29.172089,False
17.5,50,29.197872,False
17.5,50,29.22387,False
16.5,50,29.249473,False
20.5,50,29.275086,False
18.5,50,29.3007,False
19.5,50,29.326708,False
16.5,50,29.353086,False
21.5,50,29.379312,False
16.5,50,29.405194,False
17.5,50,29.431061,False
19.5,50,29.457112,False
18.5,50,29.482859,False
19.5,50,29.508609,False
19.5,50,29.534467,False
19.5,50,29.559564,False
15.5,50,29.585423,False
19.5,50,29.610801,False
19.5,50,29.636283,False
13.5,50,29.661833,False
18.5,50,29.68736,False
22.5,50,29.71277,False
18.5,50,29.738266,False
18.5,50,29.763922,False
15.5,50,29.789346,False
14.5,50,29.814736,False
20.5,50,29.840099,False
17.5,50,30.740091,False
21.5,50,30.770194,False
20.5,50,30.798358,False
19.5,50,30.82935,False
17.5,50,30.860162,False
21.5,50,30.888696,False
22.5,50,30.919906,False
18.5,50,30.946877,False
17.5,50,30.972587,False
20.5,50,30.997985,False
17.5,50,31.023434,False
20.5,50,31.051006,False
20.5,50,31.076938,False
18.5,50,31.103043,False
18.5,50,31.128507,False
21.5,50,31.154777,False
18.5,50,31.180533,False
19.5,50,31.206321,False
21.5,50,31.232149,False
20.5,50,31.257909,False
18.5,50,31.283497,False
15.5,50,31.309034,False
18.5,50,31.335092,False
18.5,50,31.361739,False
19.5,50,31.387716,False
17.5,50,31.413428,False
21.5,50,31.438907,False
17.5,50,31.464892,False
20.5,50,31.490857,False
19.5,50,31.516149,False
20.5,50,31.542705,False
21.5,50,31.56835,False
20.5,50,31.593594,False
15.5,50,31.619111,False
21.5,50,31.644881,False
22.5,50,31.67037,False
20.5,50,31.695812,False
18.5,50,31.7212,False
19.5,50,31.746673,False
21.5,50,31.771796,False
18.5,50,31.797663,False
20.5,50,32.738595,False
20.5,50,32.769155,False
19.5,50,32.800657,False
20.5,50,32.83092,False
19.5,50,32.860525,False
16.5,50,32.894188,False
20.5,50,32.926012,False
21.5,50,32.952236,False
18.5,50,32.978459,False
20.5,50,33.004875,False
19.5,50,33.030571,False
18.5,50,33.056698,False
18.5,50,33.08284,False
21.5,50,33.109213,False
20.5,50,33.135658,False
20.5,50,33.162702,False
22.5,50,33.18917,False
18.5,50,33.215662,False
18.5,50,33.242277,False
19.5,50,33.268704,False
19.5,50,33.295097,False
21.5,50,33.321605,False
19.5,50,33.348932,False
20.5,50,33.375816,False
20.5,50,33.402215,False
21.5,50,33.427955,False
18.5,50,33.454133,False
18.5,50,33.48015,False
19.5,50,33.506424,False
19.5,50,33.532846,False
17.5,50,33.559031,False
17.5,50,33.585341,False
19.5,50,33.6121,False
21.5,50,33.638357,False
19.5,50,33.664724,False
22.5,50,33.690582,False
19.5,50,33.71734,False
20.5,50,33.743446,False
19.5,50,33.770044,False
19.5,50,33.796429,False
19.5,50,33.822739,False
20.5,50,34.744713,False
19.5,50,34.776529,False
20.5,50,34.807814,False
22.5,50,34.842166,False
22.5,50,34.873663,False
19.5,50,34.907041,False
18.5,50,34.936984,False
20.5,50,34.963153,False
22.5,50,34.989028,False
20.5,50,35.01555,False
21.5,50,35.041715,False
20.5,50,35.067824,False
20.5,50,35.094404,False
20.5,50,35.120286,False
22.5,50,35.147198,False
21.5,50,35.174002,False
19.5,50,35.200496,False
19.5,50,35.226781,False
22.5,50,35.253059,False
21.5,50,35.279574,False
18.5,50,35.305992,False
20.5,50,35.332472,False
19.5,50,35.359612,False
18.5,50,35.386265,False
19.5,50,35.412749,False
21.5,50,35.439019,False
20.5,50,35.465852,False
19.5,50,35.492039,False
20.5,50,35.518037,False
21.5,50,35.544679,False
21.5,50,35.570404,False
21.5,50,35.596503,False
20.5,50,35.622552,False
20.5,50,35.648626,False
19.5,50,35.674873,False
22.5,50,35.700811,False
18.5,50,35.726933,False
21.5,50,35.753306,False
18.5,50,35.779443,False
21.5,50,35.805593,False
21.5,50,35.831756,False
21.5,50,36.857549,False
20.5,50,36.892133,False
20.5,50,36.92627,False
20.5,50,36.958541,False
21.5,50,36.990887,False
21.5,50,37.025172,False
20.5,50,37.053503,False
22.5,50,37.080321,False
21.5,50,37.107454,False
19.5,50,37.135782,False
21.5,50,37.164281,False
18.5,50,37.191416,False
21.5,50,37.218785,False
21.5,50,37.246302,False
21.5,50,37.274486,False
20.5,50,37.302069,False
22.5,50,37.329544,False
22.5,50,37.357625,False
19.5,50,37.385938,False
22.5,50,37.414143,False
21.5,50,37.44111,False
20.5,50,37.468474,False
20.5,50,37.49535,False
20.5,50,37.522415,False
22.5,50,37.549433,False
22.5,50,37.575893,False
21.5,50,37.602768,False
20.5,50,37.630132,False
21.5,50,37.657303,False
21.5,50,37.684192,False
22.5,50,37.711508,False
21.5,50,37.740373,False
20.5,50,37.767775,False
22.5,50,37.795278,False
20.5,50,37.823312,False
19.5,50,37.850743,False
21.5,50,37.878213,False
22.5,50,37.905306,False
21.5,50,37.932017,False
21.5,50,37.958833,False
22.5,50,37.985633,False
20.5,50,38.918447,False
22.5,50,38.949061,False
22.5,50,38.980768,False
22.5,50,39.009143,False
22.5,50,39.040067,False
20.5,50,39.072206,False
22.5,50,39.104325,False
22.5,50,39.131404,False
22.5,50,39.159052,False
21.5,50,39.18665,False
22.5,50,39.213822,False
22.5,50,39.240988,False
21.5,50,39.269454,False
21.5,50,39.296828,False
20.5,50,39.32422,False
21.5,50,39.352294,False
21.5,50,39.381846,False
21.5,50,39.408577,False
20.5,50,39.435624,False
21.5,50,39.463148,False
21.5,50,39.490173,False
20.5,50,39.517205,False
21.5,50,39.54418,False
22.5,50,39.570947,False
22.5,50,39.597845,False
21.5,50,39.628023,False
22.5,50,39.655198,False
21.5,50,39.684293,False
21.5,50,39.713013,False
21.5,50,39.740793,False
21.5,50,39.768172,False
22.5,50,39.795264,False
20.5,50,39.822834,False
20.5,50,39.8493,False
21.5,50,39.886171,False
21.5,50,39.919239,False
20.5,50,39.947307,False
21.5,50,39.974061,False
19.5,50,40.001836,False
19.5,50,40.029323,False
20.5,50,40.056267,False
21.5,50,40.999824,False
22.5,50,41.030945,False
21.5,50,41.063308,False
19.5,50,41.094017,False
22.5,50,41.125595,False
21.5,50,41.160242,False
20.5,50,41.19108,False
21.5,50,41.217783,False
21.5,50,41.245539,False
22.5,50,41.272526,False
22.5,50,41.30986,False
21.5,50,41.348385,False
22.5,50,41.376218,False
20.5,50,41.403846,False
20.5,50,41.431558,False
21.5,50,41.460662,False
21.5,50,41.488073,False
21.5,50,41.515148,False
21.5,50,41.543097,False
22.5,50,41.570665,False
22.5,50,41.598476,False
21.5,50,41.625722,False
21.5,50,41.652628,False
20.5,50,41.679498,False
22.5,50,41.706498,False
22.5,50,41.733302,False
21.5,50,41.760534,False
18.5,50,41.787633,False
22.5,50,41.814871,False
21.5,50,41.842114,False
22.5,50,41.86831,False
22.5,50,41.894633,False
22.5,50,41.920715,False
22.5,50,41.946822,False
22.5,50,41.972994,False
21.5,50,41.999411,False
21.5,50,42.025551,False
21.5,50,42.051675,False
21.5,50,42.07772,False
21.5,50,42.103999,False
20.5,50,42.130106,False
22.5,50,43.209887,False
21.5,50,43.243787,False
22.5,50,43.275327,False
22.5,50,43.305942,False
22.5,50,43.338294,False
21.5,50,43.37047,False
22.5,50,43.398526,False
21.5,50,43.42527,False
19.5,50,43.451586,False
22.5,50,43.478401,False
22.5,50,43.504755,False
20.5,50,43.532274,False
20.5,50,43.558612,False
22.5,50,43.585097,False
22.5,50,43.611705,False
22.5,50,43.638826,False
22.5,50,43.665111,False
22.5,50,43.692552,False
19.5,50,43.719301,False
21.5,50,43.745999,False
21.5,50,43.773523,False
22.5,50,43.800078,False
22.5,50,43.826784,False
22.5,50,43.853165,False
22.5,50,43.879526,False
21.5,50,43.906239,False
21.5,50,43.93334,False
21.5,50,43.959792,False
21.5,50,43.986163,False
21.5,50,44.012737,False
22.5,50,44.039431,False
22.5,50,44.065695,False
21.5,50,44.092254,False
22.5,50,44.118723,False
21.5,50,44.145289,False
21.5,50,44.173933,False
22.5,50,44.200873,False
22.5,50,44.227975,False
22.5,50,44.254598,False
22.5,50,44.282289,False
21.5,50,44.308699,False
22.5,50,45.344866,False
22.5,50,45.379038,False
21.5,50,45.409358,False
21.5,50,45.441222,False
21.5,50,45.477672,False
21.5,50,45.511054,False
22.5,50,45.540903,False
22.5,50,45.568106,False
22.5,50,45.595436,False
22.5,50,45.622398,False
22.5,50,45.649301,False
22.5,50,45.677717,False
22.5,50,45.707213,False
22.5,50,45.738654,False
22.5,50,45.768813,False
21.5,50,45.796559,False
22.5,50,45.823232,False
22.5,50,45.849758,False
22.5,50,45.876492,False
22.5,50,45.90295,False
22.5,50,45.929762,False
22.5,50,45.956111,False
21.5,50,45.983278,False
22.5,50,46.010164,False
22.5,50,46.036769,False
22.5,50,46.063039,False
22.5,50,46.090054,False
22.5,50,46.116952,False
22.5,50,46.144111,False
22.5,50,46.171747,False
21.5,50,46.198711,False
22.5,50,46.225161,False
21.5,50,46.252086,False
22.5,50,46.279244,False
22.5,50,46.3057,False
21.5,50,46.333796,False
22.5,50,46.361627,False
21.5,50,46.389891,False
21.5,50,46.416759,False
21.5,50,46.445989,False
22.5,50,46.473433,False
21.5,50,47.624109,False
22.5,50,47.656865,False
22.5,50,47.691908,False
21.5,50,47.727432,False
21.5,50,47.763059,False
22.5,50,47.795736,False
21.5,50,47.823085,False
21.5,50,47.851925,False
22.5,50,47.879835,False
22.5,50,47.907091,False
22.5,50,47.936768,False
