#{"t_start": 1782408269.688641, "env_id": "None"}
r,l,t,true_done
0.83,18,17.194315,True
0.89,12,17.201348,True
0.89,12,17.208755,True
0.89,12,17.215738,True
0.83,18,17.226541,True
0.87,14,17.234628,True
0.85,16,17.244021,True
0.88,13,17.251736,True
0.88,13,17.260031,True
0.83,18,17.270352,True
0.89,12,17.2772,True
0.89,12,17.284305,True
0.88,13,17.291895,True
0.87,14,17.300194,True
0.89,12,17.307391,True
0.89,12,17.314451,True
0.88,13,17.321749,True
0.89,12,17.328958,True
0.89,12,17.335865,True
0.82,19,17.346997,True
0.87,14,17.355051,True
0.87,14,17.36311,True
0.89,12,17.370134,True
0.86,15,17.382006,True
0.83,18,17.39282,True
0.88,13,17.401789,True
0.87,14,17.410726,True
0.88,13,17.419302,True
0.87,14,17.428404,True
0.82,19,17.441001,True
0.87,14,17.450422,True
0.89,12,17.458295,True
0.89,12,17.466054,True
0.83,18,17.478243,True
0.88,13,17.487038,True
0.84,17,17.498333,True
0.86,15,17.508387,True
0.85,16,17.519141,True
0.89,12,17.527126,True
0.89,12,17.534813,True
0.84,17,17.545665,True
0.88,13,17.554297,True
0.85,16,17.56473,True
0.86,15,17.575065,True
0.89,12,17.583369,True
0.88,13,17.592328,True
0.82,19,17.605383,True
0.76,25,17.621645,True
0.85,16,17.632493,True
0.87,14,17.641877,True
0.86,15,17.651808,True
0.87,14,17.66099,True
0.87,14,17.670102,True
0.86,15,17.679924,True
0.78,23,17.694688,True
0.87,14,17.703929,True
0.86,15,17.713957,True
0.88,13,17.722405,True
0.87,14,17.731394,True
0.87,14,17.740971,True
0.87,14,17.750426,True
0.85,16,17.761083,True
0.89,12,17.769213,True
0.89,12,17.777044,True
0.88,13,17.785743,True
0.87,14,17.794877,True
0.89,12,17.803004,True
0.85,16,17.813627,True
0.86,15,19.059838,True
0.89,12,19.069241,True
0.88,13,19.078181,True
0.86,15,19.089506,True
0.88,13,19.099795,True
0.82,19,19.112508,True
0.88,13,19.122521,True
0.89,12,19.131596,True
0.86,15,19.143425,True
0.84,17,19.157638,True
0.86,15,19.169064,True
0.89,12,19.179645,True
0.89,12,19.188688,True
0.87,14,19.199874,True
0.84,17,19.213369,True
0.85,16,19.225171,True
0.81,20,19.241507,True
0.87,14,19.252167,True
0.85,16,19.262529,True
0.88,13,19.270695,True
0.88,13,19.279119,True
0.88,13,19.287711,True
0.89,12,19.295567,True
0.89,12,19.30364,True
0.89,12,19.311448,True
0.84,17,19.322751,True
0.87,14,19.332158,True
0.88,13,19.341011,True
0.89,12,19.348918,True
0.85,16,19.359469,True
0.85,16,19.37008,True
0.8,21,19.383603,True
0.88,13,19.392466,True
0.88,13,19.400866,True
0.87,14,19.409995,True
0.89,12,19.418218,True
0.84,17,19.429462,True
0.85,16,19.440313,True
0.89,12,19.448229,True
0.89,12,19.456436,True
0.82,19,19.468976,True
0.89,12,19.477278,True
0.86,15,19.487862,True
0.87,14,19.497387,True
0.89,12,19.505248,True
0.85,16,19.515771,True
0.84,17,19.527332,True
0.89,12,19.535791,True
0.87,14,19.545255,True
0.89,12,19.554431,True
0.85,16,19.564962,True
0.86,15,19.575176,True
0.82,19,19.588159,True
0.89,12,19.596332,True
0.89,12,19.605028,True
0.81,20,19.618262,True
0.88,13,19.627002,True
0.86,15,19.637331,True
0.85,16,19.647738,True
0.85,16,19.65836,True
0.85,16,19.668999,True
0.86,15,19.67883,True
0.89,12,19.687465,True
0.87,14,19.697001,True
0.89,12,19.705349,True
0.87,14,19.714927,True
0.89,12,19.722885,True
0.88,13,19.731913,True
0.89,12,19.740327,True
0.83,18,19.752366,True
0.88,13,19.76106,True
0.87,14,19.770328,True
0.88,13,19.778979,True
0.87,14,19.788046,True
0.88,13,19.796725,True
0.83,18,19.808411,True
0.85,16,19.819065,True
0.89,12,19.827091,True
0.88,13,19.835585,True
0.82,19,19.848193,True
0.89,12,19.855825,True
0.89,12,19.863584,True
0.85,16,19.874314,True
0.84,17,19.885534,True
0.89,12,19.893328,True
0.89,12,19.901121,True
0.86,15,19.91092,True
0.83,18,19.922708,True
0.87,14,19.931939,True
0.87,14,19.940814,True
