#{"t_start": 1782183918.017366, "env_id": "None"}
r,l,t,true_done
1.11,20,11.889579,True
0.8,21,11.899873,True
1.17,14,11.907065,True
1.11,20,11.916858,True
1.1,21,11.927146,True
0.87,14,11.934184,True
0.82,19,11.943801,True
0.77,24,11.955825,True
0.88,13,11.962353,True
0.87,14,11.969961,True
1.08,23,11.981106,True
1.12,19,11.991738,True
1.05,26,12.004718,True
1.15,16,12.012556,True
1.15,16,12.022912,True
1.14,17,12.031183,True
0.8,21,12.042436,True
0.89,12,12.048827,True
0.84,17,12.058164,True
1.11,20,12.068111,True
1.13,18,12.07707,True
0.85,16,12.084873,True
1.14,17,12.093157,True
0.87,14,12.10003,True
1.19,12,12.105842,True
1.17,14,12.112781,True
0.87,14,12.119752,True
0.89,12,12.126118,True
0.89,12,12.132008,True
1.01,30,12.147232,True
1.09,22,12.158733,True
0.88,13,12.165308,True
1.18,13,12.172392,True
0.84,17,12.181479,True
0.86,15,12.188813,True
0.84,17,12.197415,True
1.11,20,12.207677,True
0.86,15,12.215082,True
1.17,14,12.222159,True
0.89,12,12.227917,True
1.15,16,12.235644,True
1.17,14,12.242445,True
1.14,17,12.250881,True
1.19,12,12.256732,True
1.18,13,12.263016,True
1.12,19,12.272303,True
0.84,17,12.280727,True
1.16,15,12.288089,True
0.87,14,12.295102,True
0.78,23,12.306599,True
1.15,16,12.314291,True
0.82,19,12.323544,True
1.15,16,12.33132,True
1.16,15,12.338637,True
1.12,19,12.348013,True
0.89,12,12.353947,True
1.11,20,12.363841,True
1.13,18,12.372694,True
1.13,18,12.381423,True
1.17,14,12.388325,True
0.79,22,12.398936,True
1.19,12,12.405237,True
1.13,18,12.414073,True
0.85,16,12.421882,True
0.85,16,12.429631,True
0.86,15,12.437215,True
0.79,22,12.447948,True
1.17,14,12.45482,True
1.11,20,12.464434,True
1.14,17,12.473265,True
0.86,15,12.480692,True
1.14,17,12.489449,True
0.8,21,12.50031,True
0.84,17,12.509026,True
0.89,12,12.515293,True
0.84,17,12.523713,True
0.86,15,12.531034,True
1.12,19,12.539993,True
1.13,18,12.548748,True
1.15,16,12.556468,True
0.84,17,12.564596,True
0.8,21,12.575792,True
0.87,14,12.583038,True
0.87,14,12.589848,True
0.81,20,12.599561,True
1.08,23,12.610671,True
0.77,24,12.622469,True
0.78,23,12.633667,True
0.83,18,12.642417,True
1.07,24,12.654212,True
0.84,17,12.662491,True
1.08,23,12.673639,True
1.16,15,13.612269,True
0.84,17,13.62279,True
1.13,18,13.633617,True
1.15,16,13.64471,True
1.15,16,13.652699,True
0.85,16,13.661777,True
1.17,14,13.671097,True
1.16,15,13.679782,True
1.17,14,13.688919,True
0.89,12,13.69573,True
1.18,13,13.703802,True
1.14,17,13.713322,True
1.13,18,13.723372,True
1.12,19,13.734874,True
